466: TT=145 | TEN=Tìm kiếm thông tin hồ sơ | PATH=
469: TT=V.8 | TEN=Báo cáo và thống kê tài sản | PATH=
470: TT=146 | TEN=Báo cáo tổng hợp tài sản | PATH=
475: TT=D | TEN=Phân hệ Quản lý bảo trì, bảo dưỡng | PATH=
476: TT=I | TEN=Lập kế hoạch bảo trì | PATH=http://localhost:4000/bao-tri/ke-hoach
477: TT=147 | TEN=Lập kế hoạch bảo trì thường xuyên | PATH=http://localhost:4000/bao-tri/ke-hoach
481: TT=148 | TEN=Lập kế hoạch sửa chữa định kỳ | PATH=
485: TT=149 | TEN=Lập kế hoạch sửa chữa lớn | PATH=
489: TT=150 | TEN=Lập kế hoạch sửa chữa đột xuất | PATH=
493: TT=151 | TEN=Theo dõi thực hiện kế hoạch bảo trì | PATH=
497: TT=II. | TEN=Quản lý kiểm tra tài sản | PATH=
498: TT=152 | TEN=Lập kế hoạch kiểm tra và phân công công việc | PATH=
503: TT=153 | TEN=Cập nhật thông tin kiểm tra | PATH=
507: TT=154 | TEN=Tìm kiếm kết quả kiểm tra | PATH=
511: TT=155 | TEN=Xem chi tiết kết quả kiểm tra | PATH=
515: TT=156 | TEN=Tạo công việc xử lý sau kiểm tra | PATH=
519: TT=157 | TEN=Cảnh báo tự động kết quả kiểm tra bất thường | PATH=
524: TT=III. | TEN=Quản lý bảo trì, bảo dưỡng tài sản | PATH=
525: TT=158 | TEN=Lập kế hoạch bảo trì, bảo dưỡng | PATH=http://localhost:4000/bao-tri/ke-hoach
530: TT=159 | TEN=Cập nhật kết quả bảo trì | PATH=
534: TT=160 | TEN=Tìm kiếm kết quả bảo trì | PATH=
537: TT=161 | TEN=Xem chi tiết kết quả bảo trì | PATH=
541: TT=162 | TEN=Tạo công việc xử lý sau bảo trì | PATH=
545: TT=163 | TEN=Cảnh báo tự động kết quả bảo trì | PATH=
550: TT=IV. | TEN=Quản lý sửa chữa tài sản | PATH=
551: TT=164 | TEN=Lập kế hoạch sửa chữa tài sản | PATH=
556: TT=165 | TEN=Cập nhật kết quả sửa chữa | PATH=
559: TT=166 | TEN=Tìm kiếm kết quả sửa chữa | PATH=
562: TT=167 | TEN=Xem chi tiết kết quả sửa chữa | PATH=
566: TT=168 | TEN=Cảnh báo tự động kết quả sửa chữa | PATH=
571: TT=V. | TEN=Báo cáo tổng hợp công tác bảo trì, bảo dưỡng tài sản | PATH=
572: TT=169 | TEN=Báo cáo, tổng hợp dữ liệu bảo trì định kỳ | PATH=
574: TT=170 | TEN=Báo cáo, tổng hợp tình trạng tài sản sau bảo trì | PATH=
576: TT=171 | TEN=Báo cáo, tổng hợp dữ liệu hiệu suất bảo trì | PATH=
578: TT=172 | TEN=Báo cáo, tổng hợp về sự cố và sửa chữa đột xuất | PATH=
580: TT=173 | TEN=Tra cứu và xuất lịch sử bảo trì tài sản | PATH=
582: TT=VI | TEN=Quản lý tiếp nhận và xử lý yêu cầu trong quản lý khai thác | PATH=
583: TT=VI.1 | TEN=Quản lý tiếp nhận và xử lý yêu cầu | PATH=
584: TT=174 | TEN=Khai báo yêu cầu từ khách hàng hoặc cán bộ quản lý vận hành | PATH=
586: TT=175 | TEN=Phân loại và phân bổ yêu cầu cho đơn vị quản lý vận hành | PATH=
590: TT=176 | TEN=Tạo và giao xử lý công việc cho cán bộ thực hiện | PATH=
593: TT=177 | TEN=Cập nhật kết quả xử lý vào yêu cầu | PATH=
595: TT=178 | TEN=Đóng yêu cầu sau khi xử lý hoàn thành | PATH=
598: TT=179 | TEN=Thông báo trên phần mềm khi có sự cố gửi đến người dùng | PATH=http://localhost:4000/admin/thong-bao
600: TT=180 | TEN=Theo dõi trạng thái và tiến độ xử lý yêu cầu | PATH=
